,City,Country,Lat,Lng,Cloudiness,Humidity,High Temp,Wind Speed
432,Ixtapa,MX,20.7,-105.2,40,83,77.0,3.4
433,Kiryat Gat,IL,31.61,34.76,40,71,51.8,6.93
434,Dillon,US,34.42,-79.37,90,67,69.01,3.36
435,Usinsk,RU,65.99,57.53,100,92,24.21,22.95
436,Barabai,ID,-2.58,115.38,74,88,73.67,2.21
437,Beaverlodge,CA,55.22,-119.44,20,67,19.4,2.24
438,Kirov,RU,58.6,49.66,100,93,27.63,13.09
439,Ulladulla,AU,-35.35,150.47,90,100,71.6,4.16
440,Carberry,CA,49.87,-99.36,90,79,21.2,17.22
441,Sandpoint,US,48.28,-116.55,90,100,28.4,5.37
442,Sinjar,IQ,36.32,41.88,94,61,28.87,3.78
443,Arlit,NE,18.74,7.39,0,8,91.44,6.89
444,Manyana,BW,-23.4,21.72,65,33,84.65,13.11
445,Emporia,US,38.4,-96.18,1,74,32.0,9.17
446,Ha Giang,VN,22.83,104.98,100,97,51.28,2.35
447,Lencois Paulista,BR,-22.6,-48.8,90,88,71.6,5.82
448,Loma Bonita,PA,8.38,-80.17,0,46,89.6,6.93
449,Nawa,IN,27.02,75.0,0,28,57.02,3.83
450,Naze,JP,28.37,129.48,75,51,60.8,10.29
451,Springbok,ZA,-29.66,17.89,0,31,84.29,20.11
452,Trincomalee,LK,8.57,81.23,3,92,72.36,3.02
453,Mustafakemalpasa,TR,40.04,28.41,0,61,50.0,10.29
454,Pochutla,MX,15.74,-96.47,5,69,80.6,4.97
455,Kupang,ID,-10.17,123.58,75,100,75.2,3.36
456,De-Kastri,RU,51.47,140.78,0,89,2.03,4.68
457,Rosita,NI,13.93,-84.4,85,87,75.02,3.56
458,Olinda,BR,-8.01,-34.86,40,66,89.6,9.17
459,Sayyan,YE,15.17,44.32,10,50,67.51,6.08
460,Bluffton,US,32.24,-80.86,1,68,71.01,11.41
461,Pangnirtung,CA,66.15,-65.71,5,67,-23.8,1.95
462,Le Port,RE,-20.94,55.29,75,74,80.6,8.05
463,Kuytun,RU,54.34,101.5,45,89,24.8,10.67
464,Naples,IT,40.83,14.25,75,76,57.2,10.29
465,Harper,LR,4.38,-7.72,48,78,83.68,5.59
466,Kemin,KG,42.78,75.69,100,97,32.5,4.12
467,Hamilton,US,39.18,-84.53,90,93,48.2,8.05
468,Puerto Baquerizo Moreno,EC,-0.9,-89.6,32,87,78.49,15.14
469,Margate,GB,51.38,1.39,20,66,48.99,18.34
470,Cheney,US,47.49,-117.58,1,86,30.2,4.23
471,Nar'yan-Mar,RU,67.67,53.09,100,96,31.03,20.83
472,Linxi,CN,39.7,118.43,0,66,26.01,3.31
473,Batticaloa,LK,7.71,81.69,78,93,72.41,2.75
474,Maumere,ID,-8.62,122.21,100,89,76.26,6.22
475,Lewisporte,CA,49.25,-55.05,90,67,23.0,19.46
476,Bunia,CD,1.57,30.25,0,35,86.85,4.38
477,Erenhot,CN,43.65,111.98,0,54,27.88,18.92
478,Tommot,RU,58.96,126.29,100,92,3.29,4.32
479,Nelson Bay,AU,-32.72,152.15,90,94,69.8,6.93
480,San Fernando,PH,15.03,120.69,75,74,80.6,6.93
481,Chokurdakh,RU,70.63,147.92,97,60,-22.97,0.58
482,Ucluelet,CA,48.93,-125.55,75,100,36.0,3.06
483,Kutum,SD,14.2,24.67,61,11,71.44,15.86
484,Mirny,RU,62.54,113.96,40,84,3.2,6.71
485,Luau,AO,-10.71,22.22,95,90,74.19,0.63
486,Homer,US,59.64,-151.55,1,63,30.2,13.87
487,Port-Gentil,GA,-0.72,8.78,40,74,87.8,9.17
488,Semporna,MY,4.48,118.61,75,94,75.2,1.72
489,Irbit,RU,57.67,63.07,75,90,9.95,9.48
490,Tessalit,ML,20.2,1.01,100,23,76.64,9.37
491,El Alto,PE,-4.27,-81.21,26,100,62.6,14.99
492,Kungurtug,RU,50.6,97.52,100,72,17.85,4.36
493,Geraldton,AU,-28.77,114.6,0,78,73.4,13.87
494,Festus,US,38.22,-90.4,90,100,34.0,6.93
495,Oktyabrskoye,RU,43.06,44.74,20,84,1.4,4.47
496,Baharly,TM,38.44,57.43,100,68,40.59,7.83
497,Ust'-Kut,RU,56.79,105.77,99,96,19.62,5.57
498,Bandarbeyla,SO,9.49,50.81,0,72,76.51,17.07
499,Puerto Leguizamo,CO,-0.19,-74.78,41,35,90.32,6.76
500,Riverton,US,40.52,-111.94,1,92,28.0,1.45
501,Rio Cuarto,AR,-33.13,-64.35,40,73,69.8,19.46
502,Biak,ID,-0.91,122.88,84,58,82.67,8.84
503,Vostok,RU,46.49,135.88,0,89,-8.16,3.65
504,Iqaluit,CA,63.75,-68.51,75,67,-23.01,4.7
505,Libertador General San Martin,AR,-23.81,-64.79,100,99,64.31,1.9
506,Acajutla,SV,13.59,-89.83,0,51,80.6,3.36
507,Tiznit,MA,29.58,-9.5,0,17,71.04,17.25
508,Mayumba,GA,-3.43,10.66,47,74,83.21,8.48
509,Makurdi,NG,7.74,8.51,0,9,101.41,10.85
510,Hereford,GB,52.06,-2.71,40,93,46.0,13.87
511,Baturaja,ID,-4.13,104.17,18,94,73.35,2.26
512,Ust-Maya,RU,60.42,134.53,19,83,-4.32,8.37
513,Oyama,JP,36.3,139.8,20,80,45.0,1.12
514,Zadar,HR,44.12,15.24,90,76,55.0,17.22
515,Monterey,US,36.25,-121.25,1,59,48.99,2.98
516,Biltine,TD,14.53,20.92,44,8,83.64,18.79
517,Gabu,GW,12.28,-14.22,0,5,103.32,4.97
518,Hoi An,VN,15.88,108.33,75,94,69.8,2.24
519,Jiuquan,CN,39.74,98.52,0,15,27.61,3.62
520,Tarauaca,BR,-8.16,-70.77,96,81,81.1,2.33
521,Baykit,RU,61.67,96.37,93,90,-9.31,6.29
522,Lambayeque,PE,-6.7,-79.91,20,29,66.2,10.29
523,Leshukonskoye,RU,64.9,45.76,100,84,33.3,15.84
524,North Bend,US,43.41,-124.22,1,100,36.0,3.67
525,Savannah Bight,HN,16.45,-85.85,20,78,79.29,17.4
526,Nome,US,64.5,-165.41,40,69,-13.0,10.29
527,Kharitonovo,RU,61.4,47.5,100,91,27.55,12.3
528,Troitsk,RU,54.1,61.58,84,85,13.55,12.24
529,Chany,RU,55.31,76.76,0,92,-6.79,7.61
530,Klaksvik,FO,62.23,-6.59,33,63,33.8,4.7
531,Peniche,PT,39.36,-9.38,75,87,64.0,4.7
532,Epe,NG,6.58,3.98,30,60,88.07,13.13
533,Marrakesh,MA,31.63,-8.01,2,21,78.8,5.82
534,Urumqi,CN,43.8,87.6,56,73,23.0,4.47
535,Bitkine,TD,11.98,18.21,0,10,94.21,13.4
536,Ios,GR,36.73,25.28,40,58,57.2,11.41
537,Labuhan,ID,-6.88,112.21,100,93,76.17,3.15
538,Lagoa,PT,39.05,-27.98,100,81,62.22,11.23
539,Dimona,IL,31.07,35.03,61,75,46.99,14.97
540,Raudeberg,NO,61.99,5.14,75,80,39.2,18.34
541,Codrington,AU,-38.27,141.97,100,86,66.7,4.47
542,Chimbote,PE,-9.09,-78.58,100,59,78.94,6.58
543,Ketchikan,US,55.34,-131.65,90,93,41.0,10.29
544,Lastoursville,GA,-0.81,12.73,46,41,92.93,4.45
545,Salinopolis,BR,-0.61,-47.36,0,75,81.48,8.48
546,Turukhansk,RU,65.82,87.98,100,98,-20.16,6.22
547,Chapais,CA,49.78,-74.85,90,85,19.4,6.93
548,Excelsior Springs,US,39.34,-94.23,1,79,30.99,3.36
549,Vestmannaeyjar,IS,63.44,-20.27,75,73,32.0,28.86
550,Kampene,CD,-3.6,26.67,91,63,84.16,3.69
551,Strezhevoy,RU,60.73,77.59,90,84,8.6,11.18
552,Languyan,PH,5.26,120.08,98,81,81.07,16.22
553,Abu Samrah,SY,35.3,37.18,99,29,33.84,14.52
554,Ghanzi,BW,-21.57,21.78,90,31,88.84,7.58
555,Capinopolis,BR,-18.68,-49.57,100,88,73.45,8.95
556,Mariental,NA,-24.63,17.97,0,10,94.86,5.1
557,Santa Maria,BR,-29.68,-53.81,75,61,77.0,11.41
558,Marsabit,KE,2.33,37.99,0,31,87.98,11.43
559,Tashla,RU,51.77,52.74,100,91,14.13,14.43
560,Comodoro Rivadavia,AR,-45.87,-67.5,6,60,69.8,6.93
561,Ainazi,LV,57.86,24.36,100,86,40.96,21.74
562,Burnie,AU,-41.07,145.92,100,91,64.99,11.01
563,Zyryanka,RU,65.75,150.85,100,64,-19.05,9.06
564,Qixingtai,CN,30.41,111.89,100,87,46.99,7.81
565,Padang,ID,-0.95,100.35,100,96,69.33,3.53
566,Porto-Novo,BJ,6.5,2.6,40,74,87.8,8.05
567,Sola,VU,-13.88,167.55,100,83,83.89,17.74
568,Valera,VE,9.32,-70.6,16,48,83.73,5.23
569,Opuwo,NA,-18.06,13.84,0,10,91.53,14.74
570,Lardos,GR,36.09,28.02,20,58,55.4,13.87
571,Roald,NO,62.58,6.13,75,93,37.99,6.93
572,Tibati,CM,6.47,12.63,0,12,95.4,12.44
573,Santiago del Estero,AR,-27.8,-64.26,100,79,65.5,3.4
574,Jiayuguan,CN,39.82,98.3,0,19,33.26,8.21
575,Batagay-Alyta,RU,67.8,130.41,18,96,-29.81,3.47
576,Paso de los Toros,UY,-32.82,-56.52,75,49,71.6,8.05
